Date,GLD,SPY,TLT,Cash
2007-01-04,0,0,0,0
2007-01-05,0.0,0.0,0.0,0.0
2007-01-08,0.70172119140625,1.55224609375,0.75469970703125,0.0
2007-01-09,1.5392303466796875,1.265716552734375,0.75469970703125,0.0
2007-01-10,0.950714111328125,2.388031005859375,-1.257781982421875,0.0
2007-01-11,1.041259765625,3.86865234375,-3.8740234375,0.0
2007-01-12,4.5271453857421875,6.447723388671875,-5.936767578125,0.0
2007-01-16,4.0744476318359375,5.77911376953125,-4.9808349609375,0.0
2007-01-17,5.591033935546875,5.92236328125,-6.339263916015625,0.0
2007-01-18,4.7308807373046875,4.776031494140625,-4.9808349609375,0.0
2007-01-19,6.40594482421875,5.444732666015625,-6.18829345703125,0.0
2007-01-22,5.7721405029296875,4.394012451171875,-5.13177490234375,0.0
2007-01-23,9.190139770507812,5.39697265625,-8.049835205078125,0.0
2007-01-24,9.416488647460938,8.14324951171875,-8.10015869140625,0.0
2007-01-25,8.805313110351562,4.107421875,-11.269805908203125,0.0
2007-01-26,9.054290771484375,3.7969970703125,-11.62200927734375,0.0
2007-01-29,8.14886474609375,3.605926513671875,-12.577911376953125,0.0
2007-01-30,9.16748046875,5.37310791015625,-12.0748291015625,0.0
2007-01-31,10.548263549804688,7.6656494140625,-8.402008056640625,0.0
2007-02-01,11.431076049804688,9.719390869140625,-8.931060791015625,0.0
2007-02-02,9.303298950195312,10.197052001953125,-8.375335693359375,0.0
2007-02-05,9.3712158203125,10.29254150390625,-7.769134521484375,0.0
2007-02-06,9.3712158203125,10.29254150390625,-7.769134521484375,0.0
2007-02-07,9.01947021484375,11.05743408203125,-6.413421630859375,0.0
2007-02-08,10.976058959960938,10.603302001953125,-6.04840087890625,0.0
2007-02-09,12.295120239257812,8.0218505859375,-8.65557861328125,0.0
2007-02-12,11.305816650390625,6.85064697265625,-9.698394775390625,0.0
2007-02-13,11.679550170898438,9.7427978515625,-10.68914794921875,0.0
2007-02-14,12.8447265625,12.01348876953125,-6.361328125,0.0
2007-02-15,12.93267822265625,12.4676513671875,-5.005584716796875,0.0
2007-02-16,12.82275390625,12.300323486328125,-3.389129638671875,0.0
2007-02-20,10.514404296875,13.041290283203125,-2.3463134765625,0.0
2007-02-21,14.999176025390625,12.897918701171875,-3.12841796875,0.0
2007-02-22,14.559494018554688,12.63494873046875,-5.63128662109375,0.0
2007-02-23,15.812591552734375,11.2725830078125,-2.34625244140625,0.0
2007-02-26,16.647979736328125,10.961822509765625,0.730224609375,0.0
2007-02-27,10.734268188476562,-2.590728759765625,6.622314453125,0.0
2007-02-28,13.086563110351562,0.8272705078125,4.4844970703125,0.0
2007-03-01,11.635604858398438,-0.1766357421875,4.186126708984375,0.0
2007-03-02,6.9969482421875,-4.5745849609375,6.541534423828125,0.0
2007-03-05,5.28216552734375,-7.72967529296875,7.32666015625,0.0
2007-03-06,7.9642486572265625,-2.112701416015625,5.9134521484375,0.0
2007-03-07,8.294021606445312,-2.447357177734375,7.74542236328125,0.0
2007-03-08,8.294021606445312,-2.447357177734375,7.74542236328125,0.0
2007-03-09,7.7861785888671875,-2.3560791015625,2.956512451171875,0.0
2007-03-12,8.051132202148438,-1.876708984375,4.7208251953125,0.0
2007-03-13,6.6159820556640625,-8.13165283203125,7.442962646484375,0.0
2007-03-14,7.101715087890625,-5.780364990234375,5.376190185546875,0.0
2007-03-15,7.190032958984375,-5.346588134765625,5.325775146484375,0.0
2007-03-16,8.603103637695312,-6.237518310546875,5.22491455078125,0.0
2007-03-19,8.868057250976562,-2.410064697265625,4.267181396484375,0.0
2007-03-20,10.038253784179688,-0.645294189453125,4.51922607421875,0.0
2007-03-21,11.25262451171875,4.671844482421875,4.7208251953125,0.0
2007-03-22,11.120147705078125,4.41973876953125,1.141754150390625,0.0
2007-03-23,9.7733154296875,4.901031494140625,-0.1185302734375,0.0
2007-03-26,11.296783447265625,4.465576171875,0.436004638671875,0.0
2007-03-27,10.9876708984375,3.68634033203125,-0.320159912109375,0.0
2007-03-28,11.760452270507812,1.302734375,-1.227569580078125,0.0
2007-03-29,10.877273559570312,1.646514892578125,-1.832489013671875,0.0
2007-03-30,11.075973510742188,1.71527099609375,-2.689422607421875,0.0
2007-04-02,11.318832397460938,2.08197021484375,-1.950531005859375,0.0
2007-04-03,11.274688720703125,5.58856201171875,-2.507080078125,0.0
2007-04-04,13.438430786132812,5.955291748046875,-2.05169677734375,0.0
2007-04-05,13.548843383789062,6.84912109375,-3.72137451171875,0.0
2007-04-09,13.548843383789062,6.84912109375,-3.72137451171875,0.0
2007-04-10,14.91259765625,7.216156005859375,-2.34295654296875,0.0
2007-04-11,14.73944091796875,5.94232177734375,-2.6610107421875,0.0
2007-04-12,14.544586181640625,7.324066162109375,-2.555023193359375,0.0
2007-04-13,16.384536743164062,8.7490234375,-3.98638916015625,0.0
2007-04-16,17.596755981445312,11.72845458984375,-1.44171142578125,0.0
2007-04-17,16.73089599609375,12.570465087890625,1.155975341796875,0.0
2007-04-18,17.553451538085938,12.9591064453125,3.488677978515625,0.0
2007-04-19,15.7135009765625,12.872711181640625,2.69342041015625,0.0
2007-04-20,18.246139526367188,15.873748779296875,1.474090576171875,0.0
2007-04-23,17.293701171875,14.664703369140625,3.17059326171875,0.0
2007-04-24,16.146453857421875,14.794219970703125,4.920074462890625,0.0
2007-04-25,16.4927978515625,17.730499267578125,3.276611328125,0.0
2007-04-26,14.28485107421875,18.097564697265625,-0.1163330078125,0.0
2007-04-27,15.7784423828125,17.838470458984375,-0.222381591796875,0.0
